Rejection Rate=1.5, maxNN=5
***Original Data
Fold,Euclidean-J,Euclidean-K,Theta
1,1,5,1.2853047673674707
2,2,5,1.2762167992677016
3,3,5,1.40412285140516
Original, gmean, tpr, tnr, precision,mcc
EuclideanJK,0.7162(0.0892),0.5182(0.1239),1.0000(0.0000),1.0000(0.0000),0.1727(0.0501)
Euclidean11,0.6350(0.0132),0.4034(0.0168),1.0000(0.0000),1.0000(0.0000),0.1344(0.0152)
Euclidean11Theta,0.7719(0.0819),0.7759(0.0415),0.7778(0.1925),0.9930(0.0061),0.2137(0.0750)

RSub-50, gmean, tpr, tnr,precision,mcc
EuclideanJK,0.8264(0.0291),0.6835(0.0485),1.0000(0.0000),1.0000(0.0000),0.2378(0.0458)
Euclidean11,0.6394(0.0101),0.4090(0.0128),1.0000(0.0000),1.0000(0.0000),0.1358(0.0139)
Euclidean11Theta,0.8378(0.1078),0.9104(0.0318),0.7778(0.1925),0.9938(0.0053),0.3712(0.1485)

RSub-75, gmean, tpr, tnr,precision,mcc
EuclideanJK,0.7937(0.0182),0.6303(0.0291),1.0000(0.0000),1.0000(0.0000),0.2111(0.0299)
Euclidean11,0.6217(0.0000),0.3866(0.0000),1.0000(0.0000),1.0000(0.0000),0.1296(0.0105)
Euclidean11Theta,0.8123(0.1143),0.8543(0.0379),0.7778(0.1925),0.9934(0.0058),0.2897(0.1467)

Random Projection, gmean, tpr, tnr,precision,mcc
EuclideanJK,0.7921(0.0031),0.6275(0.0049),1.0000(0.0000),1.0000(0.0000),0.2088(0.0143)
Euclidean11,0.6033(0.0175),0.3641(0.0211),1.0000(0.0000),1.0000(0.0000),0.1234(0.0063)
Euclidean11Theta,0.9361(0.0273),0.8768(0.0513),1.0000(0.0000),1.0000(0.0000),0.4189(0.1218)
