Rejection Rate=1.5,,,,,
***Original Data,,,,,
Fold,Euclidean-J,Euclidean-K,Theta,,
1,1,3,1.2710510204,,
2,1,2,1.3812196184,,
3,2,2,1.4603193842,,
4,2,3,1.5064732231,,
5,2,3,1.3853317976,,
Original, gmean, tpr, tnr, precision,mcc
EuclideanJK,0.6715(0.0554),0.4534(0.0750),1.0000(0.0000),1.0000(0.0000),0.1497(0.0221)
Euclidean11,0.6305(0.0155),0.3977(0.0194),1.0000(0.0000),1.0000(0.0000),0.1330(0.0050)
Euclidean11Theta,0.8058(0.1613),0.8322(0.0881),0.8000(0.2739),0.9931(0.0094),0.3015(0.2036)
LOF,0.8638(0.1484),0.9609(0.0386),0.8000(0.2739),0.9944(0.0077),0.5819(0.1753)
,,,,,
RSub-50, gmean, tpr, tnr,precision,mcc
EuclideanJK,0.7593(0.0282),0.5772(0.0426),1.0000(0.0000),1.0000(0.0000),0.1901(0.0163)
Euclidean11,0.6163(0.0398),0.3811(0.0481),1.0000(0.0000),1.0000(0.0000),0.1287(0.0130)
Euclidean11Theta,0.7685(0.1525),0.8683(0.0163),0.7000(0.2739),0.9904(0.0088),0.2614(0.1281)
LOF,0.8637(0.1546),0.9580(0.0171),0.8000(0.2739),0.9942(0.0079),0.5144(0.1385)
,,,,,
RSub-75, gmean, tpr, tnr,precision,mcc
EuclideanJK,0.7100(0.0591),0.5069(0.0819),1.0000(0.0000),1.0000(0.0000),0.1666(0.0260)
Euclidean11,0.6211(0.0322),0.3866(0.0407),1.0000(0.0000),1.0000(0.0000),0.1301(0.0113)
Euclidean11Theta,0.8259(0.1536),0.8770(0.0784),0.8000(0.2739),0.9937(0.0087),0.3505(0.1819)
LOF,0.8638(0.1484),0.9609(0.0386),0.8000(0.2739),0.9944(0.0077),0.5819(0.1753)
,,,,,
Random Projection, gmean, tpr, tnr,precision,mcc
EuclideanJK,0.7555(0.0642),0.5740(0.0972),1.0000(0.0000),1.0000(0.0000),0.1918(0.0374)
Euclidean11,0.6586(0.0200),0.4341(0.0266),1.0000(0.0000),1.0000(0.0000),0.1432(0.0075)
Euclidean11Theta,0.9177(0.0708),0.8462(0.1270),1.0000(0.0000),1.0000(0.0000),0.4306(0.1810)
LOF,0.9787(0.0189),0.9581(0.0368),1.0000(0.0000),1.0000(0.0000),0.6806(0.2068)
,,,,,
Kernel Features, gmean, tpr, tnr,,
EuclideanJK,0.0000(0.0000),0,0,,
Euclidean11,0.0000(0.0000),0,0,,
Euclidean11Theta,0.0000(0.0000),0,0,,
LOF,0.0000(0.0000),0,0,,
