Rejection Rate=1.5, maxNN=5
***Original Data
Fold,Euclidean-J,Euclidean-K,Theta
1,2,5,1.523081050777375
2,1,5,1.4868485496206356
3,1,5,1.6540166300931953
Original, gmean, tpr, tnr, precision,mcc
EuclideanJK,0.6454(0.0725),0.6907(0.0499),0.6078(0.1225),0.9801(0.0061),0.1178(0.0557)
Euclidean11,0.6097(0.0267),0.4539(0.0586),0.8235(0.0588),0.9865(0.0035),0.1022(0.0154)
Euclidean11Theta,0.5209(0.0592),0.8296(0.0513),0.3333(0.0899),0.9722(0.0022),0.0784(0.0153)

RSub-50, gmean, tpr, tnr,precision,mcc
EuclideanJK,0.4338(0.0319),0.8771(0.0156),0.2157(0.0340),0.9691(0.0009),0.0508(0.0102)
Euclidean11,0.4736(0.0924),0.6194(0.0080),0.3725(0.1480),0.9653(0.0076),-0.0033(0.0525)
Euclidean11Theta,0.4084(0.1349),0.9197(0.0201),0.1961(0.1358),0.9699(0.0046),0.0723(0.0682)

RSub-75, gmean, tpr, tnr,precision,mcc
EuclideanJK,0.5914(0.0548),0.7829(0.0494),0.4510(0.0899),0.9757(0.0035),0.1034(0.0388)
Euclidean11,0.5619(0.0256),0.4637(0.0638),0.6863(0.0679),0.9765(0.0037),0.0552(0.0184)
Euclidean11Theta,0.4018(0.1499),0.9029(0.0114),0.1961(0.1225),0.9693(0.0043),0.0578(0.0693)

Random Projection, gmean, tpr, tnr,precision,mcc
EuclideanJK,0.8733(0.0311),0.7633(0.0543),1.0000(0.0000),1.0000(0.0000),0.3199(0.0447)
Euclidean11,0.6994(0.0232),0.4895(0.0325),1.0000(0.0000),1.0000(0.0000),0.1789(0.0113)
Euclidean11Theta,0.9573(0.0281),0.9169(0.0535),1.0000(0.0000),1.0000(0.0000),0.5508(0.1233)
